seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	2462654	2462908	255	*	X000629	388585	2460184	2461684	1501	-	969	upstream	969	HES5
chr1	2463427	2463591	165	*	X000630	388585	2460184	2461684	1501	-	1742	upstream	1742	HES5
chr1	2936997	2937161	165	*	X000828	140625	2938046	2939467	1422	+	884	upstream	884	ACTRT2
chr1	3370419	3370598	180	*	X001182	27237	3371147	3397677	26531	+	548	upstream	548	ARHGEF16
chr1	3477152	3477361	210	*	X001311	693135	3477260	3477354	95	-	0	includeFeature	0	MIR551A
chr1	3477716	3477910	195	*	X001312	693135	3477260	3477354	95	-	361	upstream	361	MIR551A
chr1	3478271	3478390	120	*	X001313	693135	3477260	3477354	95	-	916	upstream	916	MIR551A
chr1	3478616	3478735	120	*	X001314	693135	3477260	3477354	95	-	1261	upstream	1261	MIR551A
chr1	3479315	3479746	432	*	X001315	693135	3477260	3477354	95	-	1960	upstream	1960	MIR551A
chr1	3528352	3528391	40	*	X001373	1953	3404506	3528059	123554	-	292	upstream	292	MEGF6
chr1	3528407	3528616	210	*	X001374	1953	3404506	3528059	123554	-	347	upstream	347	MEGF6
chr1	3528622	3528741	120	*	X001375	1953	3404506	3528059	123554	-	562	upstream	562	MEGF6
chr1	3528772	3528936	165	*	X001376	1953	3404506	3528059	123554	-	712	upstream	712	MEGF6
chr1	3529057	3529191	135	*	X001377	1953	3404506	3528059	123554	-	997	upstream	997	MEGF6
chr1	3529267	3529431	165	*	X001378	1953	3404506	3528059	123554	-	1207	upstream	1207	MEGF6
chr1	3529462	3529581	120	*	X001379	1953	3404506	3528059	123554	-	1402	upstream	1402	MEGF6
chr1	3529652	3529936	285	*	X001380	1953	3404506	3528059	123554	-	1592	upstream	1592	MEGF6
chr1	3539507	3539911	405	*	X001393	127262	3541556	3546694	5139	+	1644	upstream	1644	TPRG1L
chr1	3540407	3540826	420	*	X001394	127262	3541556	3546694	5139	+	729	upstream	729	TPRG1L
chr1	3541022	3541053	32	*	X001395	127262	3541556	3546694	5139	+	502	upstream	502	TPRG1L
chr1	3568179	3568247	69	*	X001396	49856	3547331	3566671	19341	-	1507	upstream	1507	WRAP73
chr1	3568179	3568247	69	*	X001396	7161	3569129	3652765	83637	+	881	upstream	881	TP73
chr1	3568293	3568486	194	*	X001397	49856	3547331	3566671	19341	-	1621	upstream	1621	WRAP73
chr1	3568293	3568486	194	*	X001397	7161	3569129	3652765	83637	+	642	upstream	642	TP73
chr1	3569414	3569672	259	*	X001398	7161	3569129	3652765	83637	+	0	inside	284	TP73
chr1	3999423	3999542	120	*	X001538	728716	4000672	4012643	11972	+	1129	upstream	1129	LINC01346
chr1	4000788	4000982	195	*	X001539	728716	4000672	4012643	11972	+	0	inside	115	LINC01346
chr1	6302059	6302507	449	*	X002154	390992	6304252	6305638	1387	+	1744	upstream	1744	HES3
chr1	6302952	6302958	7	*	X002155	390992	6304252	6305638	1387	+	1293	upstream	1293	HES3
chr1	6303440	6303559	120	*	X002156	390992	6304252	6305638	1387	+	692	upstream	692	HES3
chr1	6303934	6304218	285	*	X002157	390992	6304252	6305638	1387	+	33	upstream	33	HES3
chr1	6304309	6304458	150	*	X002158	390992	6304252	6305638	1387	+	0	inside	56	HES3
chr1	6304489	6304638	150	*	X002159	390992	6304252	6305638	1387	+	0	inside	236	HES3
chr1	6483080	6483259	180	*	X002191	83715	6484848	6521004	36157	+	1588	upstream	1588	ESPN
chr1	6483904	6483979	76	*	X002192	83715	6484848	6521004	36157	+	868	upstream	868	ESPN
chr1	6483987	6484241	255	*	X002193	83715	6484848	6521004	36157	+	606	upstream	606	ESPN
chr1	6484347	6484511	165	*	X002194	83715	6484848	6521004	36157	+	336	upstream	336	ESPN
chr1	6484347	6484511	165	*	X002194	54626	6472498	6484730	12233	-	0	inside	218	HES2
chr1	6484700	6484705	6	*	X002195	83715	6484848	6521004	36157	+	142	upstream	142	ESPN
chr1	6484700	6484705	6	*	X002195	54626	6472498	6484730	12233	-	0	inside	24	HES2
chr1	6484847	6484931	85	*	X002196	83715	6484848	6521004	36157	+	0	overlapStart	0	ESPN
chr1	6484847	6484931	85	*	X002196	54626	6472498	6484730	12233	-	116	upstream	116	HES2
chr1	6485112	6485246	135	*	X002197	83715	6484848	6521004	36157	+	0	inside	263	ESPN
chr1	6485112	6485246	135	*	X002197	54626	6472498	6484730	12233	-	381	upstream	381	HES2
chr1	6485518	6485877	360	*	X002198	54626	6472498	6484730	12233	-	787	upstream	787	HES2
chr1	6486028	6486129	102	*	X002199	54626	6472498	6484730	12233	-	1297	upstream	1297	HES2
chr1	6490172	6490287	116	*	X002201	100422975	6489894	6489956	63	-	215	upstream	215	MIR4252
chr1	6490303	6490571	269	*	X002202	100422975	6489894	6489956	63	-	346	upstream	346	MIR4252
chr1	6490873	6491366	494	*	X002203	100422975	6489894	6489956	63	-	916	upstream	916	MIR4252
chr1	6526941	6527100	160	*	X002246	8718	6521214	6526255	5042	-	685	upstream	685	TNFRSF25
chr1	8086813	8087442	630	*	X002835	54206	8071779	8086393	14615	-	419	upstream	419	ERRFI1
chr1	8383448	8383687	240	*	X002922	50651	8384390	8404227	19838	+	702	upstream	702	SLC45A1
chr1	8383883	8384017	135	*	X002923	50651	8384390	8404227	19838	+	372	upstream	372	SLC45A1
chr1	8384108	8384257	150	*	X002924	50651	8384390	8404227	19838	+	132	upstream	132	SLC45A1
chr1	8384268	8384477	210	*	X002925	50651	8384390	8404227	19838	+	0	overlapStart	0	SLC45A1
chr1	8384490	8384609	120	*	X002926	50651	8384390	8404227	19838	+	0	inside	99	SLC45A1
chr1	9004019	9004153	135	*	X002970	765	9005893	9035148	29256	+	1739	upstream	1739	CA6
chr1	9005804	9005923	120	*	X002971	765	9005893	9035148	29256	+	0	overlapStart	0	CA6
chr1	9086050	9086184	135	*	X003021	155184	9063359	9086404	23046	-	0	inside	219	SLC2A7
chr1	9148112	9148523	412	*	X003057	6518	9097005	9148510	51506	-	0	overlapStart	0	SLC2A5
chr1	9149589	9149813	225	*	X003058	6518	9097005	9148510	51506	-	1078	upstream	1078	SLC2A5
chr1	9351807	9351941	135	*	X003185	80176	9352941	9429590	76650	+	999	upstream	999	SPSB1
chr1	9352213	9352407	195	*	X003186	80176	9352941	9429590	76650	+	533	upstream	533	SPSB1
chr1	9352512	9352646	135	*	X003187	80176	9352941	9429590	76650	+	294	upstream	294	SPSB1
chr1	9352708	9352736	29	*	X003188	80176	9352941	9429590	76650	+	204	upstream	204	SPSB1
chr1	9711375	9711479	105	*	X003384	5293	9711790	9789172	77383	+	310	upstream	310	PIK3CD
chr1	9884302	9884475	174	*	X003386	22883	9789079	9884550	95472	-	0	inside	74	CLSTN1
chr1	9884491	9884535	45	*	X003387	22883	9789079	9884550	95472	-	0	inside	14	CLSTN1
chr1	9884551	9884670	120	*	X003388	22883	9789079	9884550	95472	-	0	upstream	0	CLSTN1
chr1	9884716	9884940	225	*	X003389	22883	9789079	9884550	95472	-	165	upstream	165	CLSTN1
chr1	9885166	9885330	165	*	X003390	22883	9789079	9884550	95472	-	615	upstream	615	CLSTN1
chr1	9885406	9885615	210	*	X003391	22883	9789079	9884550	95472	-	855	upstream	855	CLSTN1
chr1	9885706	9885930	225	*	X003392	22883	9789079	9884550	95472	-	1155	upstream	1155	CLSTN1
chr1	10056468	10056550	83	*	X003407	116362	10057255	10076078	18824	+	704	upstream	704	RBP7
chr1	10857336	10857460	125	*	X003635	54897	10696666	10856733	160068	-	602	upstream	602	CASZ1
chr1	10857543	10857692	150	*	X003636	54897	10696666	10856733	160068	-	809	upstream	809	CASZ1
chr1	11041841	11041975	135	*	X003825	148345	11006530	11042094	35565	-	0	inside	118	C1orf127
chr1	11042081	11042215	135	*	X003826	148345	11006530	11042094	35565	-	0	overlapStart	0	C1orf127
chr1	11043686	11043820	135	*	X003827	148345	11006530	11042094	35565	-	1591	upstream	1591	C1orf127
chr1	11539569	11539645	77	*	X003991	57540	11539295	11597640	58346	+	0	inside	273	DISP3
chr1	11919159	11919306	148	*	X004139	4879	11917521	11918992	1472	-	166	upstream	166	NPPB
chr1	11920914	11921093	180	*	X004140	4879	11917521	11918992	1472	-	1921	upstream	1921	NPPB
chr1	12774342	12774446	105	*	X004156	126767	12776118	12788726	12609	+	1671	upstream	1671	AADACL3
chr1	12775794	12775928	135	*	X004157	126767	12776118	12788726	12609	+	189	upstream	189	AADACL3
chr1	12776034	12776168	135	*	X004158	126767	12776118	12788726	12609	+	0	overlapStart	0	AADACL3
chr1	12834987	12835121	135	*	X004171	390999	12834984	12838048	3065	+	0	inside	2	PRAMEF12
chr1	12908600	12908719	120	*	X004175	649330	12907236	12908237	1002	-	362	upstream	362	HNRNPCL3
chr1	12908600	12908719	120	*	X004175	343069	12907261	12908578	1318	-	21	upstream	21	HNRNPCL1
chr1	13839982	13840197	216	*	X004229	126755	13801445	13840242	38798	-	0	inside	44	LRRC38
chr1	13840353	13840608	256	*	X004230	126755	13801445	13840242	38798	-	110	upstream	110	LRRC38
chr1	13840672	13840821	150	*	X004231	126755	13801445	13840242	38798	-	429	upstream	429	LRRC38
chr1	13841029	13841148	120	*	X004232	126755	13801445	13840242	38798	-	786	upstream	786	LRRC38
chr1	13841602	13841808	207	*	X004233	126755	13801445	13840242	38798	-	1359	upstream	1359	LRRC38
chr1	13908312	13908536	225	*	X004259	10630	13910252	13944452	34201	+	1715	upstream	1715	PDPN
chr1	13909662	13909841	180	*	X004260	10630	13910252	13944452	34201	+	410	upstream	410	PDPN
chr1	13910234	13910456	223	*	X004261	10630	13910252	13944452	34201	+	0	overlapStart	0	PDPN
chr1	14026586	14026720	135	*	X004291	7799	14026735	14151574	124840	+	14	upstream	14	PRDM2
chr1	14026781	14027260	480	*	X004292	7799	14026735	14151574	124840	+	0	inside	45	PRDM2
chr1	14924330	14924494	165	*	X004397	23254	14925213	15444544	519332	+	718	upstream	718	KAZN
chr1	14924570	14925129	560	*	X004398	23254	14925213	15444544	519332	+	83	upstream	83	KAZN
chr1	14925160	14925309	150	*	X004399	23254	14925213	15444544	519332	+	0	overlapStart	0	KAZN
chr1	15477281	15477490	210	*	X004552	55092	15479028	15546974	67947	+	1537	upstream	1537	TMEM51
chr1	15573388	15573482	95	*	X004600	114827	15573768	15726778	153011	+	285	upstream	285	FHAD1
chr1	15573738	15573899	162	*	X004601	114827	15573768	15726778	153011	+	0	overlapStart	0	FHAD1
chr1	16082761	16082910	150	*	X004654	54751	16083154	16113084	29931	+	243	upstream	243	FBLIM1
chr1	17092090	17092249	160	*	X004735	11223	17081129	17090975	9847	-	1114	upstream	1114	MST1L
chr1	17092465	17092584	120	*	X004736	11223	17081129	17090975	9847	-	1489	upstream	1489	MST1L
chr1	17307689	17308018	330	*	X004779	4237	17300999	17308081	7083	-	0	inside	62	MFAP2
chr1	17445342	17445761	420	*	X004827	11240	17393256	17445948	52693	-	0	inside	186	PADI2
chr1	17445931	17445950	20	*	X004828	11240	17393256	17445948	52693	-	0	overlapStart	0	PADI2
chr1	17446407	17446839	433	*	X004829	11240	17393256	17445948	52693	-	458	upstream	458	PADI2
chr1	17447832	17447951	120	*	X004830	11240	17393256	17445948	52693	-	1883	upstream	1883	PADI2
chr1	17530030	17530357	328	*	X004873	29943	17531621	17572501	40881	+	1263	upstream	1263	PADI1
chr1	17531566	17531730	165	*	X004874	29943	17531621	17572501	40881	+	0	overlapStart	0	PADI1
chr1	17531821	17531970	150	*	X004875	29943	17531621	17572501	40881	+	0	inside	199	PADI1
chr1	17575344	17575372	29	*	X004926	51702	17575593	17610727	35135	+	220	upstream	220	PADI3
chr1	17575449	17575688	240	*	X004927	51702	17575593	17610727	35135	+	0	overlapStart	0	PADI3
chr1	17633484	17633618	135	*	X004975	23569	17634690	17690495	55806	+	1071	upstream	1071	PADI4
chr1	17634339	17634473	135	*	X004976	23569	17634690	17690495	55806	+	216	upstream	216	PADI4
chr1	17698329	17698448	120	*	X005006	353238	17698741	17728195	29455	+	292	upstream	292	PADI6
chr1	17698668	17698787	120	*	X005007	353238	17698741	17728195	29455	+	0	overlapStart	0	PADI6
chr1	17844792	17844911	120	*	X005040	55160	17846827	18024370	177544	+	1915	upstream	1915	ARHGEF10L
chr1	17846410	17846649	240	*	X005041	55160	17846827	18024370	177544	+	177	upstream	177	ARHGEF10L
chr1	18955823	18956017	195	*	X005478	5081	18957500	19075360	117861	+	1482	upstream	1482	PAX7
chr1	18956045	18956284	240	*	X005479	5081	18957500	19075360	117861	+	1215	upstream	1215	PAX7
chr1	18956303	18956542	240	*	X005480	5081	18957500	19075360	117861	+	957	upstream	957	PAX7
chr1	18956855	18956953	99	*	X005481	5081	18957500	19075360	117861	+	546	upstream	546	PAX7
chr1	18957212	18957442	231	*	X005482	5081	18957500	19075360	117861	+	57	upstream	57	PAX7
chr1	18957515	18957649	135	*	X005483	5081	18957500	19075360	117861	+	0	inside	14	PAX7
chr1	18957653	18957757	105	*	X005484	5081	18957500	19075360	117861	+	0	inside	152	PAX7
chr1	18957788	18957788	1	*	X005485	5081	18957500	19075360	117861	+	0	inside	287	PAX7
chr1	19187604	19187675	72	*	X005669	80834	19166093	19186155	20063	-	1448	upstream	1448	TAS1R2
chr1	19187691	19187705	15	*	X005670	80834	19166093	19186155	20063	-	1535	upstream	1535	TAS1R2
chr1	19188096	19188245	150	*	X005671	80834	19166093	19186155	20063	-	1940	upstream	1940	TAS1R2
chr1	19282619	19282695	77	*	X005727	126917	19230774	19282826	52053	-	0	inside	130	IFFO2
chr1	19283759	19284013	255	*	X005728	126917	19230774	19282826	52053	-	932	upstream	932	IFFO2
chr1	19284599	19284718	120	*	X005729	126917	19230774	19282826	52053	-	1772	upstream	1772	IFFO2
chr1	19969634	19969873	240	*	X005825	4681	19969723	19984949	15227	+	0	overlapStart	0	NBL1
chr1	19989756	19989890	135	*	X005838	3362	19991780	20006055	14276	+	1889	upstream	1889	HTR6
chr1	19991151	19991480	330	*	X005839	3362	19991780	20006055	14276	+	299	upstream	299	HTR6
chr1	19991526	19992230	705	*	X005840	3362	19991780	20006055	14276	+	0	overlapStart	0	HTR6
chr1	20126546	20126636	91	*	X005917	255104	20008706	20126758	118053	-	0	inside	121	TMCO4
chr1	20127310	20127444	135	*	X005918	255104	20008706	20126758	118053	-	551	upstream	551	TMCO4
chr1	20128090	20128209	120	*	X005919	255104	20008706	20126758	118053	-	1331	upstream	1331	TMCO4
chr1	20128596	20128631	36	*	X005920	255104	20008706	20126758	118053	-	1837	upstream	1837	TMCO4
chr1	20142460	20142594	135	*	X005927	54546	20140522	20141771	1250	-	688	upstream	688	RNF186
chr1	20142596	20142730	135	*	X005928	54546	20140522	20141771	1250	-	824	upstream	824	RNF186
chr1	20142955	20143149	195	*	X005929	54546	20140522	20141771	1250	-	1183	upstream	1183	RNF186
chr1	20307131	20307265	135	*	X005963	5320	20301924	20306932	5009	-	198	upstream	198	PLA2G2A
chr1	20354707	20354826	120	*	X005964	5322	20354672	20418394	63723	+	0	inside	34	PLA2G5
chr1	20445808	20446096	289	*	X006006	26279	20439143	20446059	6917	-	0	overlapStart	0	PLA2G2D
chr1	20447568	20447687	120	*	X006007	26279	20439143	20446059	6917	-	1508	upstream	1508	PLA2G2D
chr1	20463703	20463837	135	*	X006009	64600	20465823	20476879	11057	+	1985	upstream	1985	PLA2G2F
chr1	20464348	20464652	305	*	X006010	64600	20465823	20476879	11057	+	1170	upstream	1170	PLA2G2F
chr1	20464758	20464877	120	*	X006011	64600	20465823	20476879	11057	+	945	upstream	945	PLA2G2F
chr1	20464968	20465081	114	*	X006012	64600	20465823	20476879	11057	+	741	upstream	741	PLA2G2F
chr1	20615752	20615876	125	*	X006055	127731	20617412	20681387	63976	+	1535	upstream	1535	VWA5B1
chr1	20616047	20616216	170	*	X006056	127731	20617412	20681387	63976	+	1195	upstream	1195	VWA5B1
chr1	20617059	20617178	120	*	X006057	127731	20617412	20681387	63976	+	233	upstream	233	VWA5B1
chr1	20617320	20617403	84	*	X006058	127731	20617412	20681387	63976	+	8	upstream	8	VWA5B1
chr1	20617614	20618196	583	*	X006059	127731	20617412	20681387	63976	+	0	inside	201	VWA5B1
chr1	20755262	20755331	70	*	X006141	339505	20686294	20755287	68994	-	0	overlapStart	0	LINC01141
chr1	20755797	20756036	240	*	X006142	339505	20686294	20755287	68994	-	509	upstream	509	LINC01141
chr1	20756457	20756591	135	*	X006143	339505	20686294	20755287	68994	-	1169	upstream	1169	LINC01141
chr1	20756742	20757048	307	*	X006144	339505	20686294	20755287	68994	-	1454	upstream	1454	LINC01141
chr1	20812915	20813404	490	*	X006175	55450	20808884	20812728	3845	-	186	upstream	186	CAMK2N1
chr1	20813480	20813629	150	*	X006176	55450	20808884	20812728	3845	-	751	upstream	751	CAMK2N1
chr1	20813825	20814094	270	*	X006177	55450	20808884	20812728	3845	-	1096	upstream	1096	CAMK2N1
chr1	20878700	20878899	200	*	X006206	163933	20878932	20881513	2582	+	32	upstream	32	FAM43B
chr1	21835332	21835466	135	*	X006306	249	21835858	21904905	69048	+	391	upstream	391	ALPL
chr1	21835617	21835617	1	*	X006307	249	21835858	21904905	69048	+	240	upstream	240	ALPL
chr1	22301378	22301512	135	*	X006370	23436	22303418	22333141	29724	+	1905	upstream	1905	CELA3B
chr1	22302019	22302068	50	*	X006371	23436	22303418	22333141	29724	+	1349	upstream	1349	CELA3B
chr1	22302529	22302693	165	*	X006372	23436	22303418	22333141	29724	+	724	upstream	724	CELA3B
chr1	22303706	22303840	135	*	X006373	23436	22303418	22333141	29724	+	0	inside	287	CELA3B
chr1	22326935	22327069	135	*	X006375	10136	22328149	22339035	10887	+	1079	upstream	1079	CELA3A
chr1	22327145	22327279	135	*	X006376	10136	22328149	22339035	10887	+	869	upstream	869	CELA3A
chr1	22327325	22327459	135	*	X006377	10136	22328149	22339035	10887	+	689	upstream	689	CELA3A
chr1	22328350	22328484	135	*	X006378	10136	22328149	22339035	10887	+	0	inside	200	CELA3A
chr1	22470213	22470249	37	*	X006397	54361	22443798	22470385	26588	-	0	inside	135	WNT4
chr1	22470580	22470699	120	*	X006398	54361	22443798	22470385	26588	-	194	upstream	194	WNT4
chr1	22470921	22471130	210	*	X006399	54361	22443798	22470385	26588	-	535	upstream	535	WNT4
chr1	22471581	22471715	135	*	X006400	54361	22443798	22470385	26588	-	1195	upstream	1195	WNT4
chr1	22472271	22472384	114	*	X006401	54361	22443798	22470385	26588	-	1885	upstream	1885	WNT4
chr1	22889455	22889574	120	*	X006659	2046	22890004	22930087	40084	+	429	upstream	429	EPHA8
chr1	22889665	22889896	232	*	X006660	2046	22890004	22930087	40084	+	107	upstream	107	EPHA8
chr1	22890287	22890695	409	*	X006661	2046	22890004	22930087	40084	+	0	inside	282	EPHA8
chr1	22967835	22968269	435	*	X006755	714	22970118	22974603	4486	+	1848	upstream	1848	C1QC
chr1	22979115	22979219	105	*	X006763	713	22979682	22988029	8348	+	462	upstream	462	C1QB
chr1	22979310	22979534	225	*	X006764	713	22979682	22988029	8348	+	147	upstream	147	C1QB
chr1	22979603	22979767	165	*	X006765	713	22979682	22988029	8348	+	0	overlapStart	0	C1QB
chr1	23036329	23036478	150	*	X006797	2048	23037331	23241823	204493	+	852	upstream	852	EPHB2
chr1	23036548	23036601	54	*	X006798	2048	23037331	23241823	204493	+	729	upstream	729	EPHB2
chr1	23043843	23044082	240	*	X006812	100616391	23046010	23046091	82	+	1927	upstream	1927	MIR4684
chr1	23191371	23191455	85	*	X006933	100422914	23189652	23189719	68	-	1651	upstream	1651	MIR4253
chr1	23521848	23521904	57	*	X007021	3352	23518388	23521222	2835	-	625	upstream	625	HTR1D
chr1	24438285	24438504	220	*	X007158	127294	24382531	24438665	56135	-	0	inside	160	MYOM3
chr1	24438690	24438849	160	*	X007159	127294	24382531	24438665	56135	-	24	upstream	24	MYOM3
chr1	24439155	24439274	120	*	X007160	127294	24382531	24438665	56135	-	489	upstream	489	MYOM3
chr1	24439540	24439730	191	*	X007161	127294	24382531	24438665	56135	-	874	upstream	874	MYOM3
chr1	24440035	24440184	150	*	X007162	127294	24382531	24438665	56135	-	1369	upstream	1369	MYOM3
chr1	24440245	24440379	135	*	X007163	127294	24382531	24438665	56135	-	1579	upstream	1579	MYOM3
chr1	24469425	24469544	120	*	X007190	58985	24446261	24469775	23515	-	0	inside	230	IL22RA1
chr1	24470160	24470309	150	*	X007191	58985	24446261	24469775	23515	-	384	upstream	384	IL22RA1
chr1	24513548	24513766	219	*	X007224	163702	24480647	24513765	33119	-	0	overlapStart	0	IFNLR1
chr1	24513832	24513832	1	*	X007225	163702	24480647	24513765	33119	-	66	upstream	66	IFNLR1
chr1	24513885	24514154	270	*	X007226	163702	24480647	24513765	33119	-	119	upstream	119	IFNLR1
chr1	24514560	24514694	135	*	X007227	163702	24480647	24513765	33119	-	794	upstream	794	IFNLR1
chr1	24515543	24515594	52	*	X007228	163702	24480647	24513765	33119	-	1777	upstream	1777	IFNLR1
chr1	24525383	24525502	120	*	X007232	284632	24526730	24538180	11451	+	1227	upstream	1227	LINC02800
chr1	24645010	24645104	95	*	X007287	57822	24645812	24690970	45159	+	707	upstream	707	GRHL3
chr1	24645755	24645779	25	*	X007288	57822	24645812	24690970	45159	+	32	upstream	32	GRHL3
chr1	24646095	24646214	120	*	X007289	57822	24645812	24690970	45159	+	0	inside	282	GRHL3
